STATE,ST_CASE,VEH_NO,PER_NO,PBPTYPE,PBAGE,PBSEX,PBCWALK,PBSWALK,PBSZONE,PEDCTYPE,BIKECTYPE,PEDLOC,BIKELOC,PEDPOS,BIKEPOS,PEDDIR,BIKEDIR,MOTDIR,MOTMAN,PEDLEG,PEDSNR,PEDCGP,BIKECGP
1,10010,0,1,5,20,1,0,0,0,910,0,3,7,3,7,8,7,8,8,8,8,910,0
1,10040,0,1,5,28,1,0,0,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0
1,10046,0,1,5,14,1,0,0,0,410,0,3,7,3,7,8,7,8,8,8,8,400,0
1,10053,0,1,5,29,1,0,0,0,610,0,3,7,3,7,8,7,8,8,8,8,600,0
1,10065,0,1,8,37,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
1,10066,0,1,5,60,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
1,10078,0,1,5,54,2,0,0,0,410,0,3,7,3,7,8,7,8,8,8,8,400,0
1,10079,0,1,5,64,1,0,0,0,230,0,3,7,6,7,8,7,8,8,8,8,100,0
1,10079,0,2,5,31,1,0,0,0,230,0,3,7,6,7,8,7,8,8,8,8,100,0
1,10079,0,3,5,59,2,0,0,0,230,0,3,7,6,7,8,7,8,8,8,8,100,0
1,10087,0,1,5,28,1,0,0,0,459,0,3,7,3,7,8,7,8,8,8,8,400,0
1,10089,0,1,5,24,2,0,0,0,230,0,3,7,3,7,8,7,8,8,8,8,100,0
1,10097,0,1,5,55,2,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0
1,10100,0,1,5,15,2,0,0,0,760,0,2,7,3,7,2,7,3,3,2,4b,750,0
1,10116,0,1,5,41,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
1,10118,0,1,5,55,1,0,0,0,150,0,4,7,8,7,8,7,8,8,8,8,100,0
1,10131,0,1,5,8,2,0,0,0,741,0,1,7,2,7,2,7,3,3,1,1b,740,0
1,10134,0,1,5,24,1,0,0,0,230,0,3,7,3,7,8,7,8,8,8,8,100,0
1,10134,0,2,5,41,2,0,0,0,230,0,3,7,3,7,8,7,8,8,8,8,100,0
1,10135,0,1,5,70,2,1,1,0,690,0,1,7,1,7,9,7,3,3,2,4c,990,0
1,10138,0,1,5,33,2,0,0,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0
1,10142,0,1,5,16,2,0,0,0,230,0,1,7,1,7,9,7,3,3,1,2c,100,0
1,10143,0,1,5,35,2,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0
