STATE,ST_CASE,EVENTNUM,VNUMBER1,AOI1,SOE,VNUMBER2,AOI2
1,10001,1,1,55,64,5555,55
1,10001,2,1,12,38,9999,77
1,10001,3,1,98,35,9999,77
1,10001,4,1,4,10,9999,77
1,10001,5,1,0,72,9999,77
1,10002,1,1,55,64,5555,55
1,10002,2,1,0,1,9999,77
1,10003,1,1,12,12,2,6
1,10003,2,1,0,2,9999,77
1,10003,3,2,12,12,3,6
1,10004,1,1,55,64,5555,55
1,10004,2,1,55,65,5555,55
1,10004,3,1,55,64,5555,55
1,10004,4,1,11,30,9999,77
1,10004,5,1,98,42,9999,77
1,10004,6,1,98,19,9999,77
1,10004,7,1,0,1,9999,77
1,10005,1,1,55,64,5555,55
1,10005,2,1,12,35,9999,77
1,10005,3,1,0,1,9999,77
1,10006,1,1,55,64,5555,55
1,10006,2,1,11,34,9999,77
1,10006,3,1,0,1,9999,77
1,10006,4,1,55,64,5555,55
1,10006,5,1,14,24,9999,77
1,10006,6,2,55,63,5555,55
1,10006,7,2,55,69,5555,55
1,10006,8,2,55,64,5555,55
1,10006,9,2,55,65,5555,55
1,10006,10,2,55,64,5555,55
1,10006,11,2,11,24,9999,77
1,10007,1,2,12,12,1,6
1,10008,1,1,55,63,5555,55
1,10008,2,1,12,35,9999,77
1,10008,3,1,55,67,5555,55
1,10008,4,1,14,42,9999,77
1,10008,5,1,0,1,9999,77
1,10008,6,1,9,42,9999,77
1,10009,1,1,55,64,5555,55
1,10009,2,1,12,21,9999,77
1,10009,3,1,0,2,9999,77
1,10010,1,1,12,8,9999,77
1,10011,1,1,12,12,2,12
1,10011,2,2,55,63,5555,55
1,10011,3,2,0,1,9999,77
1,10011,4,2,0,2,9999,77
1,10011,5,1,55,63,5555,55
1,10011,6,1,12,34,9999,77
1,10011,7,1,6,57,9999,77
1,10012,1,1,12,12,2,6
1,10013,1,1,12,12,2,11
1,10014,1,1,12,12,2,6
1,10014,2,1,55,68,5555,55
1,10014,3,1,12,12,3,12
1,10015,1,1,55,68,5555,55
1,10015,2,1,55,64,5555,55
1,10015,3,1,9,30,9999,77
1,10015,4,1,0,1,9999,77
1,10016,1,1,55,63,5555,55
1,10016,2,1,55,69,5555,55
1,10016,3,1,55,68,5555,55
1,10016,4,1,55,64,5555,55
1,10016,5,1,1,32,9999,77
1,10016,6,1,0,1,9999,77
1,10017,1,1,55,68,5555,55
1,10017,2,1,55,64,5555,55
1,10017,3,1,12,30,9999,77
1,10017,4,1,12,43,9999,77
1,10017,5,1,12,42,9999,77
1,10018,1,1,12,12,2,12
1,10019,1,1,55,68,5555,55
1,10019,2,1,55,64,5555,55
1,10019,3,1,12,42,9999,77
1,10019,4,1,0,3,9999,77
1,10020,1,1,55,68,5555,55
1,10020,2,1,55,64,5555,55
1,10020,3,1,0,1,9999,77
1,10021,1,1,55,64,5555,55
1,10021,2,1,9,35,9999,77
1,10021,3,1,0,1,9999,77
1,10022,1,1,55,63,5555,55
1,10022,2,1,55,69,5555,55
1,10022,3,1,55,68,5555,55
1,10022,4,1,55,64,5555,55
1,10022,5,1,1,34,9999,77
1,10022,6,1,0,1,9999,77
1,10022,7,1,13,42,9999,77
1,10023,1,1,12,12,2,9
1,10023,2,2,12,12,3,12
1,10023,3,2,11,12,4,6
1,10024,1,2,12,12,1,6
1,10024,2,1,55,68,5555,55
1,10024,3,1,12,12,3,12
1,10025,1,1,55,63,5555,55
1,10025,2,1,10,59,9999,77
1,10025,3,1,0,1,9999,77
1,10026,1,2,12,12,1,10
1,10026,2,1,55,63,5555,55
1,10026,3,1,0,1,9999,77
1,10027,1,1,12,9,9999,77
1,10028,1,1,55,68,5555,55
1,10028,2,1,55,68,5555,55
1,10028,3,1,55,63,5555,55
1,10028,4,1,12,42,9999,77
1,10028,5,1,0,1,9999,77
1,10029,1,1,55,63,5555,55
1,10029,2,1,12,32,9999,77
1,10029,3,1,19,30,9999,77
1,10030,1,1,55,68,5555,55
1,10030,2,1,55,64,5555,55
1,10030,3,1,12,32,9999,77
1,10031,1,1,12,12,2,6
1,10031,2,2,55,63,5555,55
1,10031,3,2,12,12,3,3
1,10032,1,1,12,11,9999,77
1,10032,2,1,55,68,5555,55
1,10032,3,1,55,64,5555,55
1,10032,4,1,98,38,9999,77
1,10032,5,1,0,1,9999,77
1,10033,1,1,55,63,5555,55
1,10033,2,1,12,34,9999,77
1,10034,1,2,12,12,1,9
1,10034,2,1,55,63,5555,55
1,10034,3,1,0,1,9999,77
1,10035,1,1,55,63,5555,55
1,10035,2,1,12,35,9999,77
1,10035,3,1,0,1,9999,77
1,10036,1,1,55,68,5555,55
1,10036,2,1,55,64,5555,55
1,10036,3,1,12,42,9999,77
1,10036,4,1,0,1,9999,77
1,10037,1,2,12,12,1,9
1,10038,1,1,55,68,5555,55
1,10038,2,1,12,12,2,12
1,10039,1,1,55,68,5555,55
1,10039,2,1,55,64,5555,55
1,10039,3,1,12,33,9999,77
1,10039,4,1,55,67,5555,55
1,10039,5,1,98,17,9999,77
1,10039,6,1,98,38,9999,77
1,10039,7,1,98,18,9999,77
1,10040,1,1,12,8,9999,77
1,10041,1,1,55,68,5555,55
1,10041,2,1,55,64,5555,55
1,10041,3,1,1,42,9999,77
1,10041,4,1,0,1,9999,77
1,10041,5,1,13,42,9999,77
1,10042,1,2,12,12,1,4
1,10042,2,2,55,63,5555,55
1,10042,3,2,12,30,9999,77
1,10043,1,1,12,12,2,6
1,10043,2,1,0,1,9999,77
1,10044,1,1,55,64,5555,55
1,10044,2,1,14,34,9999,77
1,10044,3,1,12,42,9999,77
1,10045,1,1,55,68,5555,55
1,10045,2,1,55,64,5555,55
1,10045,3,1,55,69,5555,55
1,10045,4,1,55,68,5555,55
1,10045,5,1,55,63,5555,55
1,10045,6,1,6,34,9999,77
1,10045,7,1,0,1,9999,77
1,10046,1,1,12,8,9999,77
1,10047,1,1,55,63,5555,55
1,10047,2,1,12,59,9999,77
1,10047,3,1,0,1,9999,77
1,10047,4,1,98,38,9999,77
1,10047,5,1,6,19,9999,77
1,10048,1,1,55,63,5555,55
1,10048,2,1,14,43,9999,77
1,10048,3,1,0,1,9999,77
1,10049,1,1,55,63,5555,55
1,10049,2,1,12,34,9999,77
1,10049,3,1,61,42,9999,77
1,10049,4,1,12,38,9999,77
1,10049,5,1,98,38,9999,77
1,10050,1,1,55,64,5555,55
1,10050,2,1,12,33,9999,77
1,10050,3,1,55,69,5555,55
1,10050,4,1,12,12,2,12
1,10051,1,1,55,68,5555,55
1,10051,2,1,12,12,2,12
1,10051,3,1,0,1,9999,77
1,10052,1,1,55,68,5555,55
1,10052,2,1,55,64,5555,55
1,10052,3,1,55,67,5555,55
1,10052,4,1,12,42,9999,77
1,10053,1,1,1,8,9999,77
1,10054,1,1,12,12,2,9
1,10055,1,1,12,12,2,11
1,10056,1,1,55,63,5555,55
1,10056,2,1,0,1,9999,77
1,10057,1,1,55,68,5555,55
1,10057,2,1,55,68,5555,55
1,10057,3,1,55,63,5555,55
1,10057,4,1,55,69,5555,55
1,10057,5,1,55,68,5555,55
1,10057,6,2,12,12,1,2
1,10057,7,1,55,64,5555,55
1,10057,8,1,98,38,9999,77
1,10057,9,1,0,1,9999,77
1,10057,10,2,55,63,5555,55
1,10057,11,2,98,38,9999,77
1,10057,12,2,0,1,9999,77
1,10058,1,1,55,68,5555,55
1,10058,2,1,55,64,5555,55
1,10058,3,1,55,67,5555,55
1,10058,4,1,12,32,9999,77
1,10058,5,1,0,1,9999,77
1,10058,6,1,0,2,9999,77
1,10059,1,1,55,63,5555,55
1,10059,2,1,0,1,9999,77
1,10059,3,1,12,30,9999,77
1,10060,1,1,12,12,2,1
1,10060,2,1,55,63,5555,55
1,10060,3,1,98,42,9999,77
1,10061,1,2,12,12,1,9
1,10062,1,1,55,63,5555,55
1,10062,2,1,55,69,5555,55
1,10062,3,1,55,68,5555,55
1,10062,4,1,55,64,5555,55
1,10062,5,1,12,42,9999,77
1,10063,1,1,55,64,5555,55
1,10063,2,1,3,42,9999,77
1,10064,1,1,55,63,5555,55
1,10064,2,1,12,59,9999,77
1,10064,3,1,12,42,9999,77
1,10065,1,1,12,15,9999,77
1,10066,1,1,12,8,9999,77
1,10067,1,1,55,71,9999,77
1,10067,2,1,12,24,9999,77
1,10067,3,1,55,67,5555,55
1,10067,4,1,12,58,9999,77
1,10067,5,1,0,1,9999,77
1,10067,6,1,0,3,9999,77
1,10068,1,1,55,68,5555,55
1,10068,2,1,55,64,5555,55
1,10068,3,1,3,42,9999,77
1,10069,1,1,12,18,9999,77
1,10069,2,1,55,68,5555,55
1,10069,3,1,55,64,5555,55
1,10069,4,1,12,42,9999,77
1,10070,1,1,55,68,5555,55
1,10070,2,1,55,64,5555,55
1,10070,3,1,12,42,9999,77
1,10070,4,1,0,3,9999,77
1,10071,1,1,55,71,9999,77
1,10071,2,1,12,34,9999,77
1,10071,3,1,12,42,9999,77
1,10072,1,1,55,68,5555,55
1,10072,2,1,55,68,5555,55
1,10072,3,1,55,63,5555,55
1,10072,4,1,11,33,9999,77
1,10072,5,1,0,1,9999,77
1,10072,6,1,9,14,2,12
1,10072,7,1,6,14,2,81
1,10074,1,1,55,63,5555,55
1,10074,2,1,0,1,9999,77
1,10075,1,1,12,12,2,10
1,10075,2,2,55,63,5555,55
1,10075,3,2,0,1,9999,77
1,10076,1,1,55,63,5555,55
1,10076,2,1,55,69,5555,55
1,10076,3,1,55,68,5555,55
1,10076,4,1,55,68,5555,55
1,10076,5,1,55,63,5555,55
1,10076,6,1,6,43,9999,77
1,10076,7,1,6,32,9999,77
1,10076,8,1,0,1,9999,77
1,10077,1,1,55,63,5555,55
1,10077,2,1,0,1,9999,77
1,10077,3,1,13,30,9999,77
1,10078,1,1,1,8,9999,77
1,10079,1,1,55,68,5555,55
1,10079,2,1,55,64,5555,55
1,10079,3,1,12,8,9999,77
1,10079,4,1,12,8,9999,77
1,10079,5,1,12,8,9999,77
1,10079,6,1,1,14,2,5
1,10079,7,1,19,14,3,5
1,10080,1,1,55,65,5555,55
1,10080,2,1,55,64,5555,55
1,10080,3,1,12,59,9999,77
1,10080,4,1,12,19,9999,77
1,10080,5,1,0,2,9999,77
1,10081,1,2,0,1,9999,77
1,10081,2,2,98,12,1,4
1,10082,1,1,55,63,5555,55
1,10082,2,1,55,69,5555,55
1,10082,3,1,55,63,5555,55
1,10082,4,1,12,32,9999,77
1,10082,5,1,0,1,9999,77
1,10083,1,1,55,63,5555,55
1,10083,2,1,11,35,9999,77
1,10083,3,1,55,67,5555,55
1,10083,4,1,0,1,9999,77
1,10083,5,1,9,42,9999,77
1,10084,1,1,55,63,5555,55
1,10084,2,1,98,18,9999,77
1,10084,3,1,98,30,9999,77
1,10084,4,1,98,43,9999,77
1,10084,5,1,98,19,9999,77
1,10084,6,1,98,58,9999,77
1,10084,7,1,19,19,9999,77
1,10085,1,1,55,63,5555,55
1,10085,2,1,12,34,9999,77
1,10085,3,1,0,1,9999,77
1,10085,4,1,98,42,9999,77
1,10086,1,1,55,63,5555,55
1,10086,2,1,55,69,5555,55
1,10086,3,1,0,1,9999,77
1,10087,1,1,12,8,9999,77
1,10088,1,1,12,12,2,6
1,10089,1,1,8,8,9999,77
1,10090,1,1,12,12,2,6
1,10090,2,1,55,63,5555,55
1,10090,3,1,98,24,9999,77
1,10090,4,2,11,12,3,1
1,10091,1,1,55,61,5555,55
1,10091,2,1,55,64,5555,55
1,10091,3,1,0,1,9999,77
1,10091,4,1,12,24,9999,77
1,10092,1,1,55,64,5555,55
1,10092,2,1,0,3,9999,77
1,10093,1,1,55,64,5555,55
1,10093,2,1,9,42,9999,77
1,10094,1,1,55,63,5555,55
1,10094,2,1,2,59,9999,77
1,10094,3,1,55,69,5555,55
1,10094,4,1,55,64,5555,55
1,10094,5,1,12,57,9999,77
1,10094,6,1,0,1,9999,77
1,10094,7,1,18,54,2,12
1,10095,1,1,55,63,5555,55
1,10095,2,1,12,24,9999,77
1,10095,3,1,0,1,9999,77
1,10096,1,1,55,63,5555,55
1,10096,2,1,6,30,9999,77
1,10097,1,1,99,8,9999,77
1,10097,2,2,98,8,9999,77
1,10098,1,1,55,64,5555,55
1,10098,2,1,12,34,9999,77
1,10098,3,1,55,67,5555,55
1,10098,4,1,98,58,9999,77
1,10099,1,1,12,12,2,4
1,10099,2,1,55,68,5555,55
1,10099,3,1,55,64,5555,55
1,10099,4,1,98,30,9999,77
1,10099,5,1,0,2,9999,77
1,10100,1,1,12,8,9999,77
1,10101,1,1,55,68,5555,55
1,10101,2,1,55,64,5555,55
1,10101,3,1,12,42,9999,77
1,10101,4,1,0,1,9999,77
1,10102,1,1,55,68,5555,55
1,10102,2,1,12,12,2,12
1,10102,3,2,55,63,5555,55
1,10102,4,2,0,1,9999,77
1,10103,1,1,55,63,5555,55
1,10103,2,1,0,1,9999,77
1,10104,1,1,55,68,5555,55
1,10104,2,1,12,12,2,12
1,10105,1,1,11,12,2,1
1,10105,2,2,19,54,3,12
1,10107,1,1,55,64,5555,55
1,10107,2,1,0,1,9999,77
1,10108,1,1,55,63,5555,55
1,10108,2,1,2,38,9999,77
1,10108,3,1,81,42,9999,77
1,10108,4,1,0,3,9999,77
1,10109,1,2,12,12,1,10
1,10110,1,1,55,64,5555,55
1,10110,2,1,55,69,5555,55
1,10110,3,1,55,63,5555,55
1,10110,4,1,12,43,9999,77
1,10110,5,1,0,1,9999,77
1,10110,6,1,0,3,9999,77
1,10111,1,1,12,12,2,12
1,10111,2,2,0,1,9999,77
1,10111,3,3,12,12,2,98
1,10112,1,1,55,68,5555,55
1,10112,2,1,12,12,2,12
1,10112,3,1,55,68,5555,55
1,10112,4,1,55,63,5555,55
1,10112,5,1,6,23,9999,77
1,10113,1,1,55,63,5555,55
1,10113,2,1,12,25,9999,77
1,10114,1,1,12,12,2,11
1,10114,2,1,55,68,5555,55
1,10114,3,1,12,12,3,12
1,10115,1,1,55,68,5555,55
1,10115,2,1,55,64,5555,55
1,10115,3,1,4,42,9999,77
1,10115,4,1,0,1,9999,77
1,10116,1,1,12,8,9999,77
1,10117,1,2,12,12,1,9
1,10118,1,1,55,71,9999,77
1,10118,2,1,12,18,9999,77
1,10118,3,1,12,21,9999,77
1,10118,4,1,55,67,5555,55
1,10118,5,1,12,21,9999,77
1,10118,6,1,12,8,9999,77
1,10119,1,1,55,63,5555,55
