ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,0,8,0,0,11,0,0,0,0,0
10002,0,0,0,0,0,0,0,0,0,0
10003,0,0,0,0,0,0,0,0,0,0
10004,0,23,16,0,0,0,12,0,26,0
10005,0,0,19,14,24,11,0,0,0,0
10006,22,0,0,0,0,10,0,0,0,0
10007,0,15,0,13,5,6,0,0,14,5
10008,0,0,0,0,0,0,8,0,0,0
10009,0,0,0,0,0,0,0,0,0,0
10010,0,0,0,0,0,0,0,0,0,0
10011,0,0,0,0,0,12,7,7,22,0
10012,0,0,0,0,0,0,0,0,0,0
10013,7,7,9,2,16,5,24,25,16,0
10014,18,18,18,18,18,18,18,18,18,18
10015,14,14,14,14,14,14,14,14,14,14
10016,0,0,0,0,0,0,0,0,15,10
10017,19,19,19,19,19,19,19,19,19,19
10018,0,18,0,44,22,0,0,0,0,0
10019,0,0,0,0,0,0,0,0,0,0
10020,0,0,0,0,0,0,0,0,0,0
10021,18,18,18,18,18,18,18,18,18,18
10022,16,16,16,16,16,16,16,16,16,16
10023,0,0,0,0,0,0,0,0,0,0
10024,0,0,0,0,0,0,0,0,0,0
10025,21,11,9,23,7,14,16,27,24,21
10026,0,0,0,0,0,0,0,0,0,0
10027,0,0,0,0,0,0,0,0,0,0
10028,0,0,0,0,0,0,0,0,0,0
10029,28,28,28,28,28,28,28,28,28,28
10030,32,32,32,32,32,32,32,32,32,32
10031,0,0,25,0,0,0,0,0,0,0
10032,0,0,0,0,0,0,0,0,0,0
10033,0,24,16,30,16,11,13,15,17,0
10034,0,11,0,0,0,0,0,0,0,0
10035,0,9,11,0,15,25,0,0,47,0
10036,0,0,0,0,0,0,0,0,0,0
10037,0,0,0,0,0,0,0,0,0,0
10038,0,0,0,0,0,0,0,0,0,0
10039,5,5,5,5,5,5,5,5,5,5
10040,0,0,0,0,0,0,0,0,0,0
10041,40,40,40,40,40,40,40,40,40,40
10042,54,0,4,0,8,11,16,0,28,0
10043,19,14,0,0,0,0,7,0,0,0
10044,0,0,0,0,0,0,0,0,0,0
10045,0,0,0,0,0,11,0,0,17,0
10046,0,0,0,0,0,0,0,0,0,0
10047,5,5,5,5,5,5,5,5,5,5
10048,20,20,20,20,20,20,20,20,20,20
10049,0,0,0,0,0,0,0,0,0,0
10050,0,0,7,31,0,0,9,0,0,0
10051,25,25,25,25,25,25,25,25,25,25
10052,21,0,0,0,0,26,0,0,0,0
10053,0,0,0,0,0,0,0,0,11,0
10054,0,0,0,0,0,0,0,0,0,0
10055,0,0,0,0,0,0,14,0,0,0
10056,22,22,22,22,22,22,22,22,22,22
10057,17,17,17,17,17,17,17,17,17,17
10058,24,0,8,0,0,0,0,0,0,4
10059,19,9,0,18,0,0,0,9,15,0
10060,0,0,0,0,0,0,27,7,0,0
10061,0,24,0,0,0,21,6,0,0,6
10062,0,0,0,0,0,0,0,0,0,0
10063,10,0,0,0,0,0,0,37,11,8
10064,0,0,0,0,0,0,0,0,0,0
10065,21,21,21,21,21,21,21,21,21,21
10066,9,25,30,18,0,7,0,27,0,0
10067,0,0,0,0,0,0,0,0,0,0
10068,0,0,0,0,0,0,0,0,0,0
10069,0,0,0,0,0,0,0,0,0,0
10070,0,0,0,0,0,0,0,0,0,0
10071,0,0,0,0,0,0,0,0,0,9
10072,0,0,0,0,0,0,0,0,0,0
10074,0,0,0,0,0,0,0,0,0,0
10075,0,0,0,0,0,0,0,0,0,0
10076,21,21,21,21,21,21,21,21,21,21
10077,11,14,3,14,20,19,33,16,10,20
10078,0,0,0,0,0,0,0,0,0,0
10079,0,0,0,0,0,0,0,0,0,0
10080,12,16,16,27,25,30,4,25,13,14
10081,0,10,0,0,0,0,0,0,0,0
10082,0,0,0,0,0,0,0,0,0,0
10083,17,14,14,38,23,10,7,6,22,32
10084,0,0,0,0,0,0,0,0,0,0
10085,12,12,12,12,12,12,12,12,12,12
10086,0,0,0,0,0,0,0,10,14,0
10087,0,0,0,0,0,0,0,0,0,0
10088,0,0,0,0,0,0,0,0,0,0
10089,0,0,0,0,0,0,0,0,0,0
10090,0,12,0,22,0,0,0,0,0,0
10091,0,0,0,0,0,0,0,0,0,0
10092,19,19,19,19,19,19,19,19,19,19
10093,0,0,0,0,0,0,0,0,0,0
10094,0,0,0,0,28,28,0,0,27,0
10095,0,0,0,0,0,0,0,0,0,0
10096,0,0,0,0,0,0,0,14,0,0
10097,0,5,11,25,11,0,0,4,21,22
10098,0,0,0,0,0,0,0,0,0,0
10099,0,0,0,0,0,0,0,0,0,0
10100,0,11,0,0,0,0,11,0,11,0
10101,24,24,24,24,24,24,24,24,24,24
10102,0,0,0,0,0,0,0,32,0,0
10103,25,25,25,25,25,25,25,25,25,25
10104,21,21,21,21,21,21,21,21,21,21
10105,29,29,29,29,29,29,29,29,29,29
10107,3,3,3,3,3,3,3,3,3,3
10108,0,0,0,0,0,0,0,0,0,0
10109,0,0,0,0,0,0,11,0,14,0
10110,15,15,15,15,15,15,15,15,15,15
10111,0,0,0,0,0,0,0,0,0,0
10112,0,0,0,0,0,0,0,0,15,0
10113,0,0,29,18,0,18,0,0,15,9
10114,0,0,0,0,0,0,0,0,0,0
10115,10,10,10,10,10,10,10,10,10,10
10116,0,0,0,0,0,0,0,0,0,0
10117,0,15,0,18,0,17,0,21,0,0
10118,0,0,0,0,0,0,0,0,0,0
10119,0,0,13,0,0,0,0,24,0,0
10120,18,18,18,18,18,18,18,18,18,18
10121,34,20,21,16,7,4,6,9,22,12
10122,15,15,15,15,15,15,15,15,15,15
10123,0,0,0,0,0,0,0,0,0,0
10124,0,0,0,0,0,0,0,0,0,0
10125,6,16,0,19,0,14,15,0,42,10
10126,0,0,0,0,0,0,0,0,0,0
10127,8,0,0,27,0,0,0,0,0,20
10128,0,0,0,0,0,0,0,0,0,0
10129,0,0,0,0,0,0,0,0,0,0
10130,0,8,0,0,0,0,0,0,0,0
10131,1,1,1,1,1,1,1,1,1,1
10132,0,0,0,0,0,0,0,0,0,0
10133,21,21,21,21,21,21,21,21,21,21
10134,0,0,0,0,0,41,9,0,0,0
10135,0,0,0,0,0,0,0,0,0,0
10136,0,0,0,16,14,0,0,0,0,0
10137,0,0,15,0,20,0,0,0,17,21
10138,0,0,0,0,0,0,0,0,0,0
10139,12,12,12,12,12,12,12,12,12,12
10140,0,0,0,0,0,0,0,0,0,0
10141,0,0,23,0,0,0,0,0,0,0
10142,0,0,0,0,16,0,0,0,0,0
10143,10,10,10,10,10,10,10,10,10,10
10144,1,1,1,1,1,1,1,1,1,1
10145,0,0,0,0,0,0,0,0,0,0
10146,0,0,0,0,0,0,0,0,0,0
10147,0,0,0,0,0,0,0,0,0,0
10148,0,0,0,0,0,0,0,0,0,0
10149,0,0,0,0,0,0,0,0,0,0
10150,0,0,0,0,0,0,0,0,0,0
10151,31,31,31,31,31,31,31,31,31,31
10152,0,0,0,0,0,0,0,0,0,0
10153,0,22,0,0,12,7,0,19,0,0
10154,9,9,9,9,9,9,9,9,9,9
10155,0,0,0,0,0,0,0,0,0,0
10156,0,0,0,0,0,0,0,0,0,0
10157,0,0,0,0,0,0,0,0,0,0
10158,0,0,0,0,0,0,0,0,0,0
10159,0,0,0,0,0,0,0,0,0,0
10160,0,13,26,13,0,39,28,21,24,3
10161,0,0,0,0,0,0,0,0,0,0
10162,16,18,39,11,11,27,24,22,6,31
10163,0,0,0,0,0,0,0,0,0,0
10164,0,0,0,0,0,0,0,0,0,0
10165,0,0,0,0,0,0,19,22,0,0
10167,0,0,0,0,15,0,0,0,21,0
10168,0,0,0,17,9,0,0,0,0,0
10169,0,0,0,0,0,0,0,0,0,0
10170,0,0,0,0,0,0,0,0,0,0
10171,0,0,0,0,0,0,0,0,0,9
10172,28,16,29,14,32,18,21,12,16,20
10173,8,8,8,8,8,8,8,8,8,8
10174,20,20,20,20,20,20,20,20,20,20
10175,21,0,0,26,0,0,0,23,0,0
10176,20,0,43,0,0,0,0,0,0,0
10177,0,13,0,0,0,0,0,3,0,0
10178,0,0,0,0,0,0,0,0,0,0
10179,0,0,18,0,0,0,29,0,0,0
10180,0,0,0,0,0,0,0,0,0,0
10181,0,0,0,0,0,0,0,0,0,0
10182,0,0,0,0,0,0,0,0,0,0
10183,0,0,0,0,0,0,0,0,0,0
10184,0,0,0,0,0,0,0,0,0,0
10185,16,16,16,16,16,16,16,16,16,16
10186,23,23,23,23,23,23,23,23,23,23
10187,0,0,0,0,0,0,5,0,0,0
10188,40,22,17,0,0,0,0,21,27,8
10189,0,0,0,0,0,0,0,0,0,0
10190,12,0,0,22,8,0,8,30,12,0
10191,18,25,51,13,0,34,0,6,0,0
10192,0,0,0,0,0,0,0,0,0,0
10193,14,14,14,14,14,14,14,14,14,14
10194,13,13,13,13,13,13,13,13,13,13
10195,0,0,15,0,0,0,22,0,0,0
10196,0,0,0,0,0,0,0,0,13,0
10197,0,0,0,0,0,0,0,0,0,0
10198,0,0,0,0,0,0,0,0,0,0
10199,14,14,14,14,14,14,14,14,14,14
10200,0,17,0,8,0,0,0,0,0,0
10201,18,18,18,18,18,18,18,18,18,18
10202,0,0,0,0,0,0,0,0,0,0
10203,12,12,12,12,12,12,12,12,12,12
10204,24,24,24,24,25,24,24,24,24,24
10205,22,22,22,22,22,22,22,22,22,22
10206,28,28,28,28,28,28,28,28,28,28
10207,12,12,12,12,12,12,12,12,12,12
10208,0,0,0,0,0,0,0,0,0,0
10209,0,0,0,0,0,0,0,0,0,0
10210,0,0,0,0,0,0,0,0,0,0
10211,0,0,2,0,0,0,0,0,0,0
10212,0,0,0,0,0,0,0,0,0,0
10213,0,0,0,0,0,0,0,0,0,0
10214,0,0,0,39,29,20,0,6,0,0
10215,0,26,0,0,0,0,0,0,0,0
10216,14,14,14,14,14,14,14,14,14,14
10217,0,0,0,0,0,0,0,0,0,0
10218,0,0,0,0,0,7,23,0,0,0
10219,0,0,0,0,0,0,0,12,0,0
10220,1,1,1,1,1,1,1,1,1,1
10221,0,0,0,0,0,0,0,0,0,0
10222,0,0,0,13,16,19,0,0,6,0
10223,0,0,0,0,0,0,0,0,6,0
10224,25,25,25,25,25,25,25,25,25,25
10225,0,0,0,0,0,0,0,0,0,0
10226,21,7,10,32,23,6,0,0,10,0
10227,0,0,0,0,0,0,0,0,0,0
10228,3,3,3,3,3,3,3,3,3,3
10229,12,8,23,9,12,7,12,5,6,15
10230,0,0,0,0,34,0,10,0,0,0
10231,0,0,0,0,0,0,0,0,0,0
10232,19,19,19,19,19,19,19,19,19,19
10233,16,0,0,0,0,0,0,0,0,0
10234,0,0,0,0,0,0,0,0,0,0
10235,0,0,0,0,0,0,0,0,0,0
10236,10,10,10,10,10,10,10,10,10,10
10237,0,0,0,0,0,0,0,0,0,0
10238,24,0,11,17,29,0,0,43,0,6
10239,0,0,16,0,0,0,0,0,0,0
10240,0,0,0,0,0,0,0,0,0,0
10241,0,0,0,0,0,0,0,0,0,0
10242,0,0,0,0,0,0,10,11,0,0
10243,0,0,0,0,0,0,0,0,0,0
10245,15,0,0,0,0,0,0,17,0,0
10246,8,12,10,15,38,9,39,11,8,18
10247,0,0,0,0,0,0,0,0,0,0
10248,18,0,17,9,0,0,0,20,0,0
10249,0,0,0,0,0,0,0,0,0,0
10250,0,0,0,0,0,0,0,0,0,0
10251,0,0,0,0,23,0,0,0,0,0
10252,0,0,0,0,0,0,0,0,0,0
10253,0,0,0,18,0,28,0,6,21,0
10254,0,0,0,0,0,0,0,0,0,0
10255,0,24,0,15,22,0,12,0,0,11
10256,16,16,16,16,20,18,16,16,16,16
10257,16,23,21,14,18,16,10,19,24,20
10258,21,21,21,21,21,21,21,21,21,21
10259,27,2,15,21,15,14,29,24,11,11
10260,0,0,0,0,0,0,0,0,0,0
10261,1,1,1,1,1,1,1,1,1,22
10262,8,0,0,0,25,0,0,0,0,19
10263,0,0,0,0,0,0,0,0,0,0
10264,0,0,29,0,0,0,0,0,0,0
10265,0,0,0,0,0,0,0,0,0,0
10266,0,0,0,0,0,0,0,0,0,0
10267,0,22,35,9,0,16,0,0,0,0
10268,0,0,0,0,0,0,0,0,0,0
10269,0,25,0,18,0,0,0,0,0,0
10270,13,24,14,10,23,13,19,11,29,16
10271,0,0,0,0,0,0,0,0,0,0
10272,29,29,29,29,29,29,29,29,29,29
10273,0,18,0,3,6,0,0,0,0,11
10274,0,0,0,0,0,0,0,0,0,0
10275,0,0,0,0,0,0,0,0,0,0
10276,16,16,16,16,16,16,16,16,16,16
10277,0,0,0,0,0,0,0,0,0,0
10278,16,16,16,16,16,16,16,16,16,16
10279,0,0,0,0,0,0,0,0,0,0
10280,0,0,0,0,0,0,0,11,0,0
10281,22,30,11,31,7,19,26,26,35,14
10282,9,27,12,23,30,4,5,26,7,11
10283,0,0,0,0,0,0,0,0,0,0
10284,0,0,0,0,0,0,0,0,0,0
10285,0,0,0,0,0,0,0,0,0,0
10286,0,0,0,0,0,0,0,0,0,0
10287,25,0,0,6,0,0,0,0,0,0
10288,0,0,0,0,0,0,0,0,0,0
10289,17,7,0,15,0,0,0,0,0,0
10290,24,24,24,24,24,24,24,24,24,24
10291,0,0,0,0,0,0,0,0,0,0
10292,0,0,0,0,16,0,0,3,0,0
10293,0,0,0,0,0,0,0,0,0,0
10294,2,2,2,2,2,2,2,2,2,2
10295,0,0,0,0,0,0,0,0,0,0
10296,0,0,0,0,0,0,0,0,0,0
10298,0,0,0,0,0,0,0,0,0,0
10299,0,0,0,0,0,0,0,0,0,0
10300,22,22,22,22,22,22,22,22,22,22
10301,0,0,0,0,0,0,0,0,0,0
10302,0,0,0,0,0,0,0,0,0,0
10303,0,0,22,13,16,27,0,0,6,4
10304,0,0,0,0,0,0,0,0,0,0
10305,0,0,0,0,0,0,0,0,0,0
