STATE,ST_CASE,VEH_NO,PVE_FORMS,PNUMOCCS,PDAY,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PREG_STAT,POWNER,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PVIN_1,PVIN_2,PVIN_3,PVIN_4,PVIN_5,PVIN_6,PVIN_7,PVIN_8,PVIN_9,PVIN_10,PVIN_11,PVIN_12,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PUNDERIDE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PDEATHS,PTRLR1VIN,PTRLR2VIN,PTRLR3VIN
1,10072,2,1,1,8,2,9,50,33,0,3,0,1,6,6,54,6054,6,2006,2A8GF78496R6,2,A,8,G,F,7,8,4,9,6,R,6,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,6,2,12,0,0,0,0,777777777777,777777777777,777777777777
1,10079,2,1,0,14,2,5,45,8,0,2,0,1,6,12,471,12471,34,2001,1FTYR14EX1PA,1,F,T,Y,R,1,4,E,X,1,P,A,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,5,6,2,12,0,0,0,0,777777777777,777777777777,777777777777
1,10079,3,1,0,14,2,5,45,8,0,2,0,1,6,20,431,20431,16,1994,1GNEC16K6RJ3,1,G,N,E,C,1,6,K,6,R,J,3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,5,6,2,12,0,0,0,0,777777777777,777777777777,777777777777
1,10161,2,1,0,6,4,14,30,14,0,3,0,1,6,12,37,12037,4,2006,1FAFP34N76W2,1,F,A,F,P,3,4,N,7,6,W,2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,7,6,2,12,0,0,0,0,777777777777,777777777777,777777777777
1,10176,2,1,0,26,2,2,55,14,0,3,0,1,6,49,471,49471,34,1990,JT4VN13G9L50,J,T,4,V,N,1,3,G,9,L,5,0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,12,6,5,12,0,0,0,0,777777777777,777777777777,777777777777
1,10176,3,1,0,26,2,2,55,14,0,3,0,1,6,20,481,20481,34,1998,1GCEC14R4WZ1,1,G,C,E,C,1,4,R,4,W,Z,1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,11,2,5,12,0,0,0,0,777777777777,777777777777,777777777777
1,10232,2,1,0,16,4,3,59,33,0,3,0,99,6,20,481,20481,34,1994,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,4,5,14,0,0,0,0,777777777777,777777777777,777777777777
1,10232,3,1,0,16,4,3,59,33,0,3,0,0,6,20,2,20002,9,2004,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,4,5,14,0,0,0,0,777777777777,777777777777,777777777777
1,10232,4,1,0,16,4,3,59,33,0,3,0,0,6,20,481,20481,34,2006,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,98,4,5,12,0,0,0,0,777777777777,777777777777,777777777777
1,10300,2,1,0,18,5,23,45,34,0,3,0,1,6,22,18,22018,9,1999,999999999999,9,9,9,9,9,9,9,9,9,9,9,9,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,0,13,9,9,12,0,0,0,0,777777777777,777777777777,777777777777
