YEAR,ST_CASE,VEH_NO,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
2017,10001,1,3,2,,2,1,1,2,4,2,3,2004,2,2
2017,10002,1,3,1,,1,1,1,2,4,2,3,2005,2,2
2017,10003,1,6,2,,2,1,1,1,4,2,3,2007,2,2
2017,10003,2,3,4,,2,1,1,2,4,2,3,2003,2,2
2017,10003,3,6,4,,2,1,1,1,4,2,3,2015,2,2
2017,10004,1,1,2,,1,2,2,2,4,1,3,2014,2,2
2017,10005,1,2,2,,1,1,1,2,4,1,3,2010,2,2
2017,10006,1,1,2,,1,1,1,2,4,2,3,1997,2,2
2017,10006,2,1,2,,2,1,1,2,4,2,3,2002,2,2
2017,10007,1,1,4,,2,1,1,2,4,2,3,2015,2,2
2017,10007,2,9,2,,2,1,1,2,4,2,3,9999,2,2
2017,10008,1,1,2,,1,1,1,1,4,2,3,2002,2,2
2017,10009,1,3,2,,2,1,1,2,4,2,3,2006,2,2
2017,10010,1,2,2,,2,1,1,2,4,2,3,2011,2,2
2017,10011,1,1,2,,2,1,1,2,4,1,3,2008,2,2
2017,10011,2,1,2,,1,2,2,2,4,2,3,2008,2,2
2017,10012,1,3,2,,2,1,1,1,4,1,3,2007,2,2
2017,10012,2,6,4,,2,1,1,1,4,2,3,2015,2,2
2017,10013,1,1,2,,2,1,1,2,4,2,3,2009,2,2
2017,10013,2,3,2,,2,1,1,2,4,2,3,1997,2,2
2017,10014,1,2,2,,2,1,1,2,4,1,3,1993,2,2
2017,10014,2,3,4,,2,1,1,1,4,2,3,2003,2,2
2017,10014,3,2,2,,2,1,1,2,4,2,3,2016,2,2
2017,10015,1,2,5,,1,1,1,2,4,1,3,2002,2,2
2017,10016,1,3,2,,1,2,2,2,4,1,3,1998,2,2
2017,10017,1,1,2,,2,1,1,2,4,2,3,2011,2,2
2017,10018,1,1,2,,2,1,1,2,4,2,3,2007,2,2
2017,10018,2,1,2,,2,1,1,2,4,2,3,2011,2,2
2017,10019,1,1,2,,2,2,2,2,4,2,3,2004,2,2
2017,10020,1,1,1,,1,1,1,2,4,2,3,2004,2,2
2017,10021,1,2,5,,1,1,1,2,4,1,3,2002,2,2
2017,10022,1,3,2,,1,2,2,2,4,1,3,2002,2,2
2017,10023,1,1,2,,2,1,1,2,4,2,3,2013,2,2
2017,10023,2,1,5,,2,1,1,2,4,2,3,2005,2,2
2017,10023,3,1,2,,2,2,2,2,4,2,3,2006,2,2
2017,10023,4,1,4,,2,1,1,2,4,2,3,2016,2,2
2017,10024,1,1,4,,2,1,1,2,4,2,3,2004,2,2
2017,10024,2,6,2,,2,1,1,2,4,2,3,2002,2,2
2017,10024,3,2,2,,2,1,1,2,4,2,3,2002,2,2
2017,10025,1,1,5,,1,1,1,2,4,2,3,2000,2,2
2017,10026,1,1,5,,1,1,1,2,4,2,3,2006,2,2
2017,10026,2,2,2,,2,1,1,2,4,2,3,2004,2,2
2017,10027,1,1,2,,2,1,1,2,4,2,3,2003,2,2
2017,10028,1,1,2,,1,2,2,2,4,2,3,2000,2,2
2017,10029,1,7,2,,2,4,2,2,2,1,3,2006,1,2
2017,10030,1,3,2,,2,1,1,2,4,2,3,2016,2,2
2017,10031,1,6,2,,2,1,1,1,4,2,3,2009,2,2
2017,10031,2,2,4,,2,1,1,2,4,2,3,2008,2,2
2017,10031,3,1,3,,2,1,1,2,4,2,3,2015,2,2
2017,10032,1,1,2,,1,2,2,2,4,2,3,2006,2,2
2017,10033,1,7,2,,2,4,1,2,1,2,3,2016,2,2
2017,10034,1,1,5,,1,2,2,2,4,2,3,2009,2,2
2017,10034,2,1,2,,2,1,1,2,4,1,3,2015,2,2
2017,10035,1,1,2,,1,2,2,2,4,2,3,1994,2,2
2017,10036,1,4,2,,1,1,1,2,4,2,3,2000,2,2
2017,10037,1,1,5,,2,1,1,2,4,2,3,1997,2,2
2017,10037,2,3,2,,2,1,1,2,4,2,3,2012,2,2
2017,10038,1,3,2,,2,2,2,2,4,2,3,1998,2,2
2017,10038,2,6,2,,2,1,1,1,4,2,3,2008,2,2
2017,10039,1,7,2,,2,4,1,2,1,1,3,2006,2,2
2017,10040,1,2,2,,2,1,1,2,4,2,3,2001,2,2
2017,10041,1,1,2,,1,1,1,1,4,1,3,2012,2,2
2017,10042,1,1,3,,2,1,1,2,4,2,3,1989,2,2
2017,10042,2,3,2,,2,2,2,2,4,2,3,2004,2,2
2017,10043,1,9,2,,1,2,1,2,4,2,3,2007,2,2
2017,10043,2,9,4,,2,1,1,2,4,2,3,2014,2,2
2017,10044,1,1,6,,2,1,1,2,4,2,3,2009,2,2
2017,10045,1,1,4,,1,1,1,2,4,2,3,2003,2,2
2017,10046,1,1,2,,2,1,1,2,4,2,3,2015,2,2
2017,10047,1,1,2,,1,2,2,2,4,2,3,2003,2,1
2017,10048,1,1,6,,1,2,2,2,4,2,3,1995,2,2
2017,10049,1,1,2,,2,1,1,2,4,2,3,1997,2,2
2017,10050,1,1,2,,2,1,1,2,4,2,3,2017,2,2
2017,10050,2,1,2,,2,1,1,2,4,2,3,2015,2,2
2017,10051,1,2,2,,1,2,2,2,4,1,3,2006,2,2
2017,10051,2,1,2,,2,2,2,2,4,2,3,2005,2,2
2017,10052,1,1,2,,2,1,1,2,4,1,3,2001,2,2
2017,10053,1,3,2,,2,1,1,2,4,2,3,2008,2,2
2017,10054,1,2,2,,2,1,1,2,4,2,3,1997,2,2
2017,10054,2,2,5,,2,1,1,2,4,2,3,2007,2,2
2017,10055,1,3,2,,2,2,2,2,4,2,3,2005,2,2
2017,10055,2,4,2,,2,1,1,2,4,2,3,2015,2,2
2017,10056,1,3,1,,1,1,1,2,4,1,3,2002,2,2
2017,10057,1,1,3,,1,1,1,2,4,1,3,2003,2,2
2017,10057,2,1,2,,1,1,1,2,4,2,3,2010,2,2
2017,10058,1,1,2,,1,2,2,2,4,1,3,2016,2,2
2017,10059,1,1,1,,1,1,1,2,4,1,3,2008,2,2
2017,10060,1,1,2,,2,1,1,2,4,2,3,2003,2,2
2017,10060,2,2,2,,2,1,1,2,4,2,3,2002,2,2
2017,10061,1,1,5,,2,1,1,2,4,2,3,2009,2,2
2017,10061,2,1,2,,2,1,1,2,4,2,3,2008,2,2
2017,10062,1,2,2,,2,1,1,2,4,2,3,1990,2,2
2017,10063,1,3,3,,2,2,2,2,4,1,3,2002,2,2
2017,10064,1,4,2,,2,1,1,2,4,2,3,1991,2,2
2017,10065,1,1,2,,2,2,2,2,4,1,3,2011,2,2
2017,10066,1,9,2,,2,3,3,3,4,2,3,9999,2,2
2017,10067,1,1,2,,1,1,1,2,4,2,3,2007,2,2
2017,10068,1,1,3,,2,1,1,2,4,2,3,2006,2,2
2017,10069,1,2,2,,2,1,1,1,4,2,3,1998,2,2
2017,10070,1,3,2,,2,1,1,2,4,1,3,2001,2,2
2017,10071,1,3,2,,2,1,1,2,4,2,3,2000,2,2
