Day of Week	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Unknown	Total	

Midnight to 2:59 a.m.	996	408	307	367	375	495	1015	0	3963	
3 a.m. to 5:59 a.m.	635	377	305	298	357	413	619	0	3004	
6 a.m. to 8:59 a.m.	360	523	529	524	521	505	425	0	3387	
9 a.m. to 11:59 a.m.	417	500	444	423	465	473	511	0	3233	
Noon to 2:59 p.m.	596	578	625	637	617	667	675	0	4395	
3 p.m. to 5:59 p.m.	770	753	668	745	780	886	850	0	5452	
6 p.m. to 8:59 p.m.	855	757	658	783	830	921	1001	0	5805	
9 p.m. to 11:59 p.m.	618	573	565	580	690	951	957	0	4934	
Unknown	56	32	28	31	27	41	51	0	266	
Total	5303	4501	4129	4388	4662	5352	6104	0	34439	
