rowdef	Less than One Year	1 Year	2 Years	3 Years	4 Years	5 Years	6 Years	7 Years	8 Years	9 Years	10 Years	11 Years	12 Years	13 Years	14 Years	15 Years	16 Years	17 Years	18 Years	19 Years	20 Years	21 Years	22 Years	23 Years	24 Years	25 Years	26 Years	27 Years	28 Years	29 Years	30 Years	31 Years	32 Years	33 Years	34 Years	35 Years	36 Years	37 Years	38 Years	39 Years	40 Years	41 Years	42 Years	43 Years	44 Years	45 Years	46 Years	47 Years	48 Years	49 Years	50 Years	51 Years	52 Years	53 Years	54 Years	55 Years	56 Years	57 Years	58 Years	59 Years	60 Years	61 Years	62 Years	63 Years	64 Years	65 Years	66 Years	67 Years	68 Years	69 Years	70 Years	71 Years	72 Years	73 Years	74 Years	75 Years	76 Years	77 Years	78 Years	79 Years	80 Years	81 Years	82 Years	83 Years	84 Years	85 Years	86 Years	87 Years	88 Years	89 Years	90 Years	91 Years	92 Years	93 Years	94 Years	95 Years	96 Years	97 Years	98 Years	99 Years	100 Years	101 Years	115 Years	Not Reported	Unknown	total	

0:00am-0:59am	3	4	10	8	6	6	8	5	6	7	6	10	1	6	15	22	37	56	79	111	98	108	100	101	101	91	90	91	61	55	68	67	63	65	58	51	35	44	38	39	42	41	41	39	38	35	32	40	31	38	40	29	33	40	29	34	40	27	31	24	21	21	14	14	12	14	9	11	10	6	5	5	2	7	4	2	1	3	5	3	2	2	1	2	2	1	3	1	2	1	1	0	1	0	0	0	2	0	0	0	0	0	0	21	85	2830	
1:00am-1:59am	6	6	5	12	4	6	8	5	8	3	6	4	0	6	7	19	26	37	82	79	84	124	99	99	125	110	78	92	72	95	61	64	65	60	59	58	47	51	41	46	43	35	35	35	35	35	31	24	34	29	32	28	32	33	22	28	17	11	23	9	21	14	18	10	11	10	7	9	7	6	6	4	3	3	9	1	2	2	0	2	0	2	1	1	0	1	1	1	1	2	0	0	0	0	0	0	1	2	0	0	0	0	0	18	77	2683	
2:00am-2:59am	1	4	5	5	4	5	2	2	0	6	3	5	9	3	10	16	23	38	69	85	101	123	119	117	124	127	112	104	97	89	76	65	61	72	55	64	52	35	51	47	44	36	39	29	32	49	26	18	23	27	29	28	26	20	31	24	29	22	15	21	17	20	15	10	9	10	4	5	10	4	6	6	8	9	6	4	1	2	1	2	0	2	1	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	15	70	2795	
3:00am-3:59am	6	3	5	7	4	5	4	7	3	2	6	2	2	4	9	15	20	32	58	75	84	87	92	92	80	97	74	58	72	50	49	34	38	51	26	44	42	36	36	24	24	32	29	33	34	21	24	29	21	22	27	23	21	19	21	19	18	14	14	16	13	23	16	14	11	10	8	5	5	4	2	4	4	1	3	1	2	5	1	0	0	1	0	0	1	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	14	54	2103	
4:00am-4:59am	3	1	2	2	4	1	2	4	1	4	3	4	5	7	8	11	14	18	46	39	59	68	88	71	59	54	52	56	41	51	44	37	37	38	37	31	27	22	29	29	21	25	19	23	26	27	25	35	24	23	20	26	15	17	19	20	22	19	14	14	14	11	20	10	18	6	4	6	6	5	4	2	4	3	2	4	6	3	3	4	3	1	1	2	2	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	9	45	1745	
5:00am-5:59am	3	3	7	3	2	3	3	2	3	2	4	3	2	6	7	5	10	30	36	59	63	72	81	50	76	67	57	67	53	47	49	57	53	51	47	40	42	45	39	41	42	29	42	36	39	39	37	34	35	41	39	47	39	41	34	35	32	41	44	40	31	34	30	22	23	23	20	15	15	18	8	15	13	13	8	8	8	3	4	3	4	0	1	1	2	1	3	0	3	0	1	1	0	1	0	0	0	0	0	0	0	0	0	8	59	2455	
6:00am-6:59am	8	9	7	6	5	5	10	7	6	6	5	12	6	6	9	9	25	39	53	51	57	71	59	70	68	71	78	67	57	66	44	58	43	53	48	42	39	37	45	40	47	48	45	53	43	47	56	50	38	46	36	53	43	42	41	50	42	39	43	42	39	34	24	25	37	22	15	28	21	19	19	14	15	7	9	6	11	13	10	6	7	8	7	7	4	4	2	2	2	1	0	2	1	0	1	1	0	1	0	0	0	0	0	21	35	2781	
7:00am-7:59am	11	17	11	14	16	14	24	20	19	16	20	21	23	23	27	28	35	48	51	55	42	52	54	77	69	47	62	56	52	39	52	57	48	40	36	49	35	48	47	38	37	39	37	41	46	43	41	40	35	25	44	38	45	36	36	44	29	42	34	45	31	41	23	34	32	25	18	21	22	14	17	12	23	12	19	11	12	11	11	8	10	13	8	7	7	6	4	4	5	6	1	3	2	1	0	0	0	0	0	0	0	0	0	12	20	2776	
8:00am-8:59am	14	10	12	10	14	15	15	10	10	12	5	16	8	8	11	14	16	26	46	44	52	38	44	35	37	48	40	52	42	40	40	48	45	24	33	27	38	42	30	28	30	28	23	26	40	27	45	30	40	27	33	28	30	33	33	34	31	21	33	28	35	25	25	22	30	29	28	18	22	29	20	19	16	15	7	18	17	12	8	11	13	16	15	12	14	7	8	9	4	3	4	2	4	4	0	1	0	0	0	0	0	0	0	8	22	2271	
