	Day of Week	
FieldDesc	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Unknown	Total	

Midnight to 2:59 a.m.	987	347	264	314	405	471	910	0	3698	
3 a.m. to 5:59 a.m.	638	281	270	297	318	347	546	0	2697	
6 a.m. to 8:59 a.m.	342	482	515	496	503	511	409	0	3258	
9 a.m. to 11:59 a.m.	411	439	433	433	452	439	496	0	3103	
Noon to 2:59 p.m.	569	570	555	604	601	624	598	0	4121	
3 p.m. to 5:59 p.m.	744	721	705	715	724	795	770	0	5174	
6 p.m. to 8:59 p.m.	910	669	699	717	769	852	925	0	5541	
9 p.m. to 11:59 p.m.	659	505	512	576	657	846	944	0	4699	
Unknown	38	24	32	29	32	32	61	0	248	
Total	5298	4038	3985	4181	4461	4917	5659	0	32539	
